seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,final_behavior_risk_score,fraud_label
experienced,295,417,68.5,Like,0,13.97,5,17.92,8.61,0.3,0,0,0,0,0,1,1,5.9,2.6,0,1.0,0,0
intermediate,70,50,30.0,Like,1,2.84,15,14.91,13.57,-0.72,15,15,25,1,1,9,18,60.0,60,0,61.7,33.0,1
experienced,300,415,49.7,Subscribe,1,38.92,5,6.29,33.82,0.81,0,0,25,1,0,2,1,13.3,4.9,0,8.8,16.0,0
new,7,5,52.5,Comment,0,102.66,5,20.22,79.06,1.17,0,0,0,0,0,1,1,3.6,5.1,0,2.8,2.8,0
intermediate,20,37,73.9,Follow,0,22.47,5,17.83,27.73,-0.29,0,0,0,0,0,2,1,12.0,3.1,0,8.1,2.4,0
veteran,590,1721,82.7,Like,0,17.48,5,12.36,21.33,-0.31,0,0,0,0,0,2,1,7.9,3.7,70,6.7,13.3,0
veteran,822,4675,56.5,Comment,1,98.9,5,12.1,118.08,-1.58,0,0,35,1,0,1,1,5.4,3.9,0,2.8,18.6,1
experienced,200,146,73.3,Comment,0,40.29,5,12.39,64.75,-1.97,0,0,0,0,0,1,1,5.4,7.6,0,2.3,1.7,0
veteran,795,3205,50.3,Subscribe,1,4.76,35,14.86,47.22,-2.86,15,0,25,0,0,6,8,38.1,28.2,70,33.3,26.7,1
intermediate,69,23,69.2,Like,0,13.56,5,8.68,10.89,0.31,0,0,0,0,0,6,1,40.3,3.0,0,29.3,0,1
veteran,724,1919,90.5,Like,0,20.82,5,15.73,23.06,-0.14,0,0,0,0,0,2,1,7.1,1.2,0,2.1,1.6,0
intermediate,29,26,69.4,Subscribe,0,34.04,15,4.46,23.78,2.3,15,0,0,0,0,2,10,9.8,41.7,0,17.6,6.8,1
veteran,408,2423,82.0,Like,0,19.01,5,5.24,20.63,-0.31,0,0,0,0,0,1,1,3.4,3.5,0,2.3,0,0
experienced,228,411,77.1,Comment,0,109.94,5,5.56,114.99,-0.91,0,0,0,0,0,4,2,25.0,9.3,0,18.2,0.2,0
new,5,2,56.8,Subscribe,0,3.08,35,8.97,55.51,-5.84,35,0,0,0,0,2,1,12.0,3.9,0,11.3,14.9,0
experienced,298,789,43.9,Like,1,17.41,5,10.64,20.68,-0.31,0,0,25,1,0,1,3,3.9,10.8,0,5.9,12.0,0
intermediate,76,41,48.0,Follow,1,18.51,5,13.44,37.85,-1.44,0,0,35,1,0,1,1,1.6,1.4,0,0,15.0,0
intermediate,16,79,34.7,Comment,0,117.07,35,10.13,79.61,3.7,35,0,0,0,0,5,3,31.3,14.6,0,24.7,14.8,1
intermediate,46,21,62.7,Subscribe,0,47.83,5,14.73,40.27,0.51,0,0,0,0,0,1,1,6.4,2.4,0,5.7,1.7,0
veteran,578,3563,31.8,Like,1,1.76,35,6.83,20.61,-2.76,15,0,35,0,0,4,6,21.0,23.6,70,22.7,31.0,1
experienced,206,744,48.8,Follow,0,13.37,5,6.56,18.16,-0.73,0,0,0,0,0,9,1,61.2,4.6,0,39.7,2.4,0
experienced,111,991,46.0,Comment,0,6.53,35,8.51,63.89,-6.74,35,0,0,0,0,13,17,70,60,0,62.7,14.1,1
new,10,3,63.4,Comment,0,62.29,5,11.35,78.74,-1.45,0,0,0,0,0,1,1,2.9,4.0,0,4.6,2.8,1
experienced,297,966,75.6,Subscribe,0,44.42,5,15.84,70.86,-1.67,0,0,0,0,0,1,1,2.5,6.1,0,4.8,0,0
veteran,862,1498,37.7,Comment,0,15.19,35,18.39,94.82,-4.33,35,0,0,0,0,7,12,42.1,47.3,70,41.7,27.1,1
veteran,849,1999,69.2,Comment,0,85.95,35,7.43,46.04,5.37,35,0,0,0,0,2,6,13.0,22.2,0,18.6,16.6,0
veteran,867,4545,56.9,Subscribe,1,44.84,5,10.21,46.81,-0.19,0,0,25,0,0,1,1,2.3,1.5,0,3.6,5.2,0
experienced,168,588,83.7,Comment,0,63.22,5,21.38,44.19,0.89,0,0,0,0,0,1,2,0.7,11.3,70,0.5,14.6,1
experienced,294,746,45.5,Subscribe,1,44.01,5,16.14,35.58,0.52,0,0,25,1,0,2,1,13.2,3.9,0,10.3,17.2,0
veteran,468,2818,68.9,Like,0,2.24,35,4.52,13.28,-2.44,15,0,0,0,0,1,1,3.0,2.0,0,1.9,9.1,0
experienced,214,590,79.7,Comment,0,56.59,5,12.3,45.88,0.87,0,0,0,0,0,5,2,34.3,7.7,0,23.3,0,0
experienced,308,787,31.8,Subscribe,0,6.08,35,7.59,63.22,-7.53,35,0,0,0,0,10,5,64.7,20.6,70,49.8,24.9,1
veteran,874,4412,93.4,Like,0,18.32,5,18.38,13.01,0.29,0,0,0,0,0,1,14,1.3,54.0,0,21.8,2.3,0
experienced,316,115,75.6,Like,0,13.02,5,5.62,22.07,-1.61,0,0,0,0,0,1,1,0.9,4.3,0,5.9,3.7,0
veteran,668,4058,91.0,Comment,0,41.4,35,12.43,112.33,-5.71,35,0,0,0,0,1,1,4.7,5.4,0,4.1,14.3,1
experienced,323,458,71.5,Subscribe,0,9.58,35,14.52,53.97,-3.06,35,0,0,0,0,2,1,8.6,0.2,0,8.8,16.5,0
veteran,675,3660,83.5,Comment,0,60.87,5,21.03,45.55,0.73,0,0,0,0,0,1,1,6.2,1.1,0,4.0,2.7,0
veteran,467,4415,78.3,Follow,0,1.96,35,21.13,22.1,-0.95,15,0,0,0,0,1,1,6.7,6.8,0,3.5,11.3,0
new,4,1,61.6,Comment,0,6.53,35,18.84,126.88,-6.39,35,0,0,0,0,1,1,6.8,0.4,0,3.2,15.7,0
experienced,210,417,77.9,Follow,0,18.38,5,14.73,32.65,-0.97,0,0,15,1,0,2,3,10.8,14.4,0,8.9,14.0,0
intermediate,68,73,52.8,Subscribe,0,36.29,5,12.07,21.4,1.23,0,0,0,0,0,1,1,1.6,4.9,0,4.5,2.2,0
intermediate,76,57,52.2,Like,0,15.54,5,16.82,9.39,0.37,0,0,0,0,0,3,1,15.0,1.0,0,11.1,2.5,0
experienced,311,182,69.6,Subscribe,0,59.5,15,15.78,24.12,2.24,15,0,0,0,0,7,2,43.5,7.6,0,28.8,5.7,0
experienced,221,464,76.3,Comment,0,42.75,35,12.54,100.53,-4.61,35,0,0,0,0,1,1,5.2,3.0,0,1.5,16.7,0
experienced,307,969,71.6,Comment,0,61.56,15,9.18,36.67,2.71,15,0,0,0,0,3,2,15.5,9.3,0,11.1,8.1,0
veteran,392,3495,82.9,Follow,1,16.15,5,8.81,33.78,-2.0,0,0,35,1,0,1,1,2.4,0.0,0,4.5,19.1,1
experienced,265,242,56.8,Comment,0,81.9,15,0.49,83.25,-2.76,15,35,0,0,1,1,1,4.7,2.2,0,5.1,24.7,1
experienced,147,371,75.9,Like,0,13.24,5,13.48,19.24,-0.44,0,0,0,0,0,1,13,0.4,49.6,0,21.2,2.8,0
veteran,545,1530,85.2,Comment,0,105.84,5,13.0,102.22,0.28,0,0,0,0,0,1,1,6.0,0.3,0,0.2,3.4,0
experienced,298,102,85.4,Comment,0,73.69,5,1.82,74.11,-0.23,0,35,0,0,1,1,1,3.0,3.2,0,0,21.7,0
experienced,149,624,59.1,Like,1,20.37,5,10.29,25.59,-0.51,0,0,25,1,0,1,2,1.7,5.2,0,0.5,14.2,0
experienced,256,965,83.1,Comment,0,74.86,5,11.92,63.27,0.97,0,0,0,0,0,1,8,4.1,30.8,0,10.1,0,0
new,9,4,54.9,Like,0,21.46,5,13.98,16.59,0.35,0,0,0,0,0,2,1,12.7,5.2,0,8.6,0,0
veteran,452,3067,87.6,Subscribe,0,64.59,15,16.74,20.09,2.66,15,0,0,0,0,1,1,2.5,7.3,0,3.3,7.1,1
intermediate,27,77,58.2,Subscribe,0,49.55,5,17.03,33.2,0.96,0,0,0,0,0,7,3,44.3,12.7,0,30.4,4.1,0
experienced,283,739,77.5,Like,0,3.85,15,16.06,23.71,-1.24,15,0,0,0,0,1,1,3.7,5.2,0,3.6,5.2,0
intermediate,32,25,40.0,Comment,0,100.52,15,5.82,116.37,-2.72,15,0,0,0,0,1,2,0.3,6.7,0,4.6,5.3,0
veteran,410,2683,77.5,Follow,0,26.04,5,21.45,30.73,-0.22,0,0,0,0,0,1,2,1.6,5.9,0,6.9,2.3,0
veteran,880,3161,80.4,Subscribe,0,7.84,15,7.59,26.67,-2.48,15,0,0,0,0,2,1,10.4,3.0,0,11.3,6.1,0
experienced,353,231,82.9,Follow,0,30.78,5,20.39,13.34,0.86,0,0,0,0,0,2,3,9.9,11.2,0,9.3,0,0
new,13,5,53.1,Like,0,12.88,5,6.48,23.27,-1.6,0,0,0,0,0,1,1,1.0,5.6,0,2.2,0,0
intermediate,51,36,28.7,Comment,1,102.48,35,11.56,36.3,5.73,35,0,25,0,0,1,1,6.3,4.8,0,1.9,16.0,1
experienced,134,617,77.1,Follow,0,23.83,5,2.47,23.67,0.07,0,35,0,0,1,1,1,4.4,7.8,0,3.7,22.0,0
veteran,706,1547,62.1,Like,0,10.98,5,18.64,18.28,-0.39,0,0,0,0,0,2,11,13.9,43.8,0,21.8,2.5,0
intermediate,40,11,50.9,Follow,0,30.75,5,11.17,19.39,1.02,0,0,0,0,0,1,1,4.5,2.3,0,6.6,2.2,0
veteran,816,4665,71.7,Comment,1,93.83,35,7.36,65.57,3.84,35,0,25,1,0,1,2,1.9,4.7,0,2.2,24.5,1
new,2,5,51.7,Comment,0,112.49,15,17.08,76.44,2.11,15,0,0,0,0,1,1,4.5,6.3,0,1.6,5.4,0
veteran,512,4477,71.0,Follow,0,13.55,35,4.63,32.44,-4.08,35,0,0,0,0,2,9,9.5,39.6,0,16.3,13.7,0
experienced,362,456,58.8,Like,0,1.56,35,8.49,20.39,-2.22,15,0,0,0,0,1,1,2.7,4.5,0,1.4,10.7,0
new,3,0,42.1,Comment,0,95.64,35,7.11,38.94,7.98,35,0,0,0,0,2,2,13.8,11.9,0,14.5,14.3,0
new,11,5,64.1,Follow,0,23.7,5,18.29,28.46,-0.26,0,0,0,0,0,1,1,1.0,6.3,0,0,0.5,0
intermediate,65,67,56.6,Like,0,9.68,5,2.44,9.25,0.18,0,35,0,0,1,1,1,2.4,7.0,0,6.3,18.3,0
veteran,896,1627,75.7,Like,0,1.92,35,20.83,10.49,-0.41,15,0,0,0,0,2,1,9.0,0.6,0,3.6,9.6,0
experienced,177,687,76.1,Like,0,20.25,5,15.86,10.33,0.63,0,0,0,0,0,7,1,48.5,0.3,0,34.5,3.9,0
new,12,4,51.3,Follow,0,26.42,5,12.96,28.5,-0.16,0,0,0,0,0,1,3,3.4,14.4,0,8.7,0,0
experienced,265,702,49.7,Comment,0,19.08,35,9.75,118.08,-10.16,35,0,0,0,0,1,1,5.3,4.1,0,1.8,11.7,0
experienced,287,965,76.7,Like,0,10.71,5,19.58,12.24,-0.08,0,0,0,0,0,1,1,2.2,6.1,0,3.5,1.2,0
experienced,214,301,64.1,Comment,0,85.79,35,9.06,36.39,5.45,35,0,0,0,0,1,1,2.0,0.1,0,0,12.6,0
experienced,190,452,69.5,Like,0,3.65,15,13.08,8.69,-0.39,15,0,0,0,0,1,3,4.8,9.0,0,10.0,7.8,0
intermediate,80,57,18.7,Follow,1,3.4,35,6.47,12.05,-1.34,15,0,25,1,0,10,12,66.2,48.9,70,60.3,35.1,1
veteran,672,2946,89.3,Comment,0,119.18,5,1.58,118.29,0.56,0,35,0,0,1,1,1,0.2,3.8,0,5.2,21.9,0
intermediate,63,24,61.9,Comment,0,94.54,15,14.31,55.84,2.71,15,0,0,0,0,1,11,2.2,41.2,0,17.4,7.6,0
veteran,897,1850,88.1,Like,0,14.41,5,12.61,27.46,-1.04,0,0,0,0,0,2,1,10.7,4.4,0,9.9,3.1,0
experienced,243,311,86.3,Follow,0,5.18,15,17.88,38.01,-1.84,15,0,0,0,0,1,1,3.4,4.5,0,7.2,4.7,0
veteran,515,2190,60.2,Comment,0,114.28,5,1.74,113.54,0.43,0,35,0,0,1,1,2,1.9,8.5,0,2.4,21.7,0
experienced,117,183,73.2,Follow,0,29.73,5,5.81,30.67,-0.16,0,0,0,0,0,1,1,6.5,3.3,0,8.8,1.1,0
experienced,121,868,29.1,Subscribe,0,8.78,15,13.63,48.72,-2.93,15,0,0,0,0,3,18,20.5,60,70,37.0,18.0,0
new,0,2,56.0,Like,0,12.84,5,21.69,9.38,0.16,0,0,0,0,0,2,1,10.5,7.5,0,12.2,0,0
experienced,186,95,76.6,Comment,0,99.37,5,14.22,110.97,-0.82,0,0,0,0,0,1,2,6.3,10.6,0,7.9,2.3,0
veteran,372,2069,82.8,Subscribe,0,34.83,5,8.81,41.9,-0.8,0,0,0,0,0,1,1,1.8,2.9,0,0.1,1.0,0
experienced,242,457,73.6,Subscribe,0,26.89,5,6.4,29.72,-0.44,0,0,0,0,0,2,13,9.6,53.6,0,28.3,3.1,0
experienced,361,801,51.1,Like,1,22.09,5,6.02,25.82,-0.62,0,0,25,0,0,2,1,10.8,1.3,0,10.3,8.6,0
experienced,324,658,55.5,Follow,0,28.64,5,18.52,23.61,0.27,0,0,0,0,0,1,2,5.2,8.6,0,2.8,0,0
veteran,849,1130,46.4,Like,1,3.25,15,6.44,10.85,-1.18,15,0,35,1,0,14,14,70,55.0,0,67.9,21.2,1
new,8,3,51.1,Follow,0,1.82,35,8.01,30.96,-3.64,35,0,0,0,0,1,1,4.7,4.4,0,4.8,12.5,0
new,0,5,48.9,Like,0,8.27,5,19.91,22.75,-0.73,0,0,0,0,0,1,1,0.2,4.8,0,3.5,2.7,0
veteran,423,1574,81.0,Follow,0,28.82,5,18.68,18.81,0.54,0,0,0,0,0,1,1,4.7,2.6,0,2.4,2.2,0
new,8,4,60.8,Like,0,15.26,5,15.27,25.71,-0.68,0,0,0,0,0,1,3,6.6,13.4,0,11.3,0.7,0
new,3,1,40.3,Comment,0,18.06,35,18.5,102.61,-4.57,35,0,0,0,0,1,3,3.9,9.1,0,3.7,14.9,0
experienced,188,133,66.2,Like,0,22.85,5,14.85,20.88,0.13,0,0,15,1,0,1,2,5.1,8.5,0,6.1,9.3,0
veteran,856,4746,36.9,Like,1,4.13,15,7.68,19.47,-2.0,15,0,35,1,0,11,9,70,35.0,70,58.0,33.1,1
experienced,204,840,60.1,Subscribe,0,46.06,5,20.83,31.95,0.68,0,0,0,0,0,1,1,2.3,3.0,0,5.2,2.2,0
veteran,868,2888,66.4,Comment,0,96.23,15,7.05,111.4,-2.15,15,0,0,0,0,1,2,3.8,9.1,0,2.1,8.1,0
experienced,209,150,67.2,Like,0,14.34,5,13.1,7.39,0.53,0,0,0,0,0,7,2,48.5,11.3,0,36.8,1.4,0
experienced,237,98,70.1,Subscribe,0,62.29,5,11.75,55.34,0.59,0,0,0,0,0,1,2,3.7,5.9,0,5.4,0.4,0
experienced,215,794,58.5,Comment,0,90.57,5,19.26,100.25,-0.5,0,0,0,0,0,2,2,7.7,7.0,0,7.9,0,0
experienced,260,660,79.9,Comment,0,114.33,5,0.81,113.13,1.49,0,35,0,0,1,1,1,1.9,7.4,0,5.3,20.5,0
intermediate,41,24,64.3,Subscribe,0,23.46,15,11.17,56.13,-2.92,15,0,0,0,0,1,1,5.8,3.1,0,8.1,7.5,0
experienced,268,135,23.6,Like,1,3.14,15,5.37,11.91,-1.63,15,0,35,1,0,12,13,70,54.2,0,60.7,19.1,1
new,12,1,53.5,Subscribe,0,8.69,15,6.78,22.39,-2.02,15,0,0,0,0,1,2,2.2,4.9,0,0,5.2,0
experienced,353,498,60.9,Follow,0,25.73,5,13.98,13.28,0.89,0,0,0,0,0,1,2,0.1,7.3,0,4.8,1.6,0
experienced,177,223,66.6,Follow,0,15.85,5,6.63,18.23,-0.36,0,0,0,0,0,1,1,5.5,2.9,0,8.1,1.2,0
experienced,293,421,77.8,Follow,0,3.91,35,19.52,21.32,-0.89,15,0,0,0,0,1,2,4.6,8.8,0,4.4,12.2,0
veteran,664,4011,91.1,Comment,0,55.61,5,14.37,80.85,-1.76,0,0,0,0,0,1,2,2.8,4.9,0,4.0,1.5,0
veteran,580,2796,84.8,Comment,0,107.58,5,2.05,107.06,0.25,0,35,0,0,1,1,1,1.8,1.2,0,1.0,19.9,0
experienced,275,799,75.4,Comment,0,42.22,15,15.49,85.46,-2.79,15,0,0,0,0,9,1,60.7,1.3,0,40.8,6.9,0
veteran,806,1434,32.6,Subscribe,0,7.15,15,13.19,31.84,-1.87,15,15,0,0,1,12,15,70,59.6,70,65.5,29.1,1
veteran,511,2427,30.6,Like,1,2.75,35,7.72,16.44,-1.77,15,15,25,1,1,10,5,66.1,21.6,0,49.0,40.8,1
experienced,260,654,61.4,Follow,0,26.48,5,18.36,23.6,0.16,0,0,0,0,0,1,14,3.0,52.2,0,21.2,1.8,0
experienced,123,672,47.3,Follow,0,19.5,15,7.37,34.95,-2.1,15,0,0,0,0,1,8,4.7,31.9,0,17.9,5.3,0
veteran,542,4334,85.9,Subscribe,0,46.56,5,20.54,60.83,-0.7,0,0,0,0,0,1,1,1.7,0.9,0,0.4,0.6,0
intermediate,83,28,56.2,Comment,0,60.4,5,1.29,61.74,-1.04,0,35,0,0,1,1,1,1.0,6.5,0,6.6,20.2,0
experienced,133,659,48.9,Comment,0,9.1,35,9.26,107.99,-10.68,35,0,0,0,0,1,1,3.2,5.9,0,6.3,11.7,1
experienced,112,859,68.6,Subscribe,1,24.61,5,21.82,47.23,-1.04,0,0,25,1,0,1,2,2.1,12.0,0,5.2,15.9,1
veteran,804,1680,71.5,Subscribe,1,56.24,5,18.64,59.99,-0.2,0,0,35,0,0,1,1,4.2,1.3,0,7.0,10.7,0
veteran,649,4552,82.6,Comment,0,47.43,35,6.39,101.99,-8.54,35,0,0,0,0,1,1,5.9,3.1,0,2.1,14.8,0
experienced,233,792,89.4,Like,0,13.56,5,21.1,14.69,-0.05,0,0,0,0,0,1,2,5.1,9.8,0,6.4,0.4,0
veteran,582,3027,70.2,Follow,0,25.25,5,1.55,25.29,-0.03,0,35,0,0,1,1,1,0.3,0.8,0,2.8,18.0,0
veteran,804,1829,92.8,Like,0,2.17,35,19.88,25.66,-1.18,15,0,0,0,0,2,2,7.7,6.9,0,4.0,11.9,1
experienced,137,801,55.5,Follow,0,25.65,5,5.4,16.71,1.66,0,0,0,0,0,7,2,42.1,9.6,0,33.2,0.8,0
intermediate,28,19,46.6,Comment,0,100.74,15,6.47,120.04,-2.98,15,0,0,0,0,1,1,7.0,1.1,0,5.2,6.9,0
veteran,819,4523,60.9,Follow,0,14.83,35,6.52,35.64,-3.19,35,0,0,0,0,2,9,13.7,34.5,0,18.1,11.5,0
veteran,393,4473,87.6,Subscribe,0,47.31,15,7.7,64.86,-2.28,15,0,0,0,0,4,2,23.1,4.4,0,19.7,6.0,1
experienced,97,450,78.2,Like,0,18.21,5,1.1,17.66,0.5,0,35,0,0,1,1,3,5.4,8.1,0,2.9,17.5,1
experienced,347,866,64.6,Subscribe,0,44.15,15,5.48,55.55,-2.08,15,0,0,0,0,1,1,2.2,4.1,0,0.5,6.8,0
experienced,314,828,85.3,Like,0,23.72,5,8.4,12.04,1.39,0,0,0,0,0,1,13,4.3,50.5,0,22.4,0,0
experienced,268,616,66.0,Follow,0,20.55,5,8.67,33.58,-1.5,0,0,0,0,0,2,8,12.1,28.9,0,21.2,0.8,0
new,7,3,57.6,Like,0,10.84,5,19.47,8.33,0.13,0,0,0,0,0,1,2,6.3,9.4,0,4.3,0,0
experienced,287,234,59.5,Like,0,21.65,5,4.64,26.69,-1.09,0,0,0,0,0,1,1,1.6,2.0,0,5.0,3.2,0
intermediate,81,11,77.1,Like,0,12.8,5,12.37,8.6,0.34,0,0,0,0,0,1,1,3.9,0.1,0,0.1,0.1,0
veteran,566,4001,92.9,Comment,0,5.34,35,8.41,107.93,-12.2,35,0,0,0,0,1,1,2.4,6.7,0,6.9,11.0,0
intermediate,82,36,57.5,Subscribe,0,26.41,15,21.51,69.42,-2.0,15,0,0,0,0,1,1,1.6,6.8,0,2.7,6.5,0
intermediate,87,13,43.5,Comment,0,57.18,35,8.26,128.4,-8.62,35,0,0,0,0,5,3,30.8,14.7,0,23.7,12.4,0
intermediate,36,63,62.2,Like,0,24.4,5,13.65,15.45,0.66,0,0,0,0,0,1,1,1.9,1.0,0,0,3.2,0
intermediate,46,51,46.3,Subscribe,0,56.9,35,9.38,20.62,3.87,35,0,0,0,0,1,3,6.0,12.4,0,8.6,11.6,0
veteran,593,1536,72.7,Like,0,23.94,5,16.35,15.33,0.53,0,0,0,0,0,1,1,6.4,0.6,0,8.4,2.1,0
intermediate,74,12,48.3,Subscribe,0,37.77,5,18.79,48.7,-0.58,0,0,0,0,0,1,1,1.2,1.7,0,0,3.6,1
experienced,346,502,81.2,Follow,0,20.81,5,5.58,24.07,-0.58,0,0,0,0,0,6,1,41.2,4.2,0,29.3,3.0,0
experienced,339,433,89.6,Subscribe,0,28.09,5,10.99,44.88,-1.53,0,0,0,0,0,1,1,6.3,6.2,0,2.7,4.2,0
experienced,119,863,92.9,Follow,0,30.34,5,19.24,16.88,0.7,0,0,0,0,0,1,2,5.9,5.4,0,6.5,2.4,0
veteran,511,3307,92.7,Subscribe,0,63.67,5,18.59,62.76,0.05,0,0,0,0,0,1,1,0.3,0.4,0,1.1,1.1,0
experienced,181,902,75.6,Follow,0,25.49,5,4.39,19.76,1.3,0,0,0,0,0,4,2,26.9,10.9,0,25.0,3.9,0
experienced,171,830,85.4,Subscribe,0,49.21,5,21.29,60.36,-0.52,0,0,0,0,0,1,3,4.9,15.4,0,10.9,1.8,0
new,2,1,64.3,Subscribe,0,37.62,5,21.08,68.76,-1.48,0,0,0,0,0,2,3,7.2,12.8,0,12.6,0,0
experienced,130,324,27.0,Follow,1,6.42,15,15.45,19.65,-0.86,15,0,25,1,0,14,14,70,59.1,70,65.8,26.8,1
veteran,870,4612,76.7,Follow,0,4.1,35,5.83,25.92,-3.75,35,0,0,0,0,2,1,11.8,1.3,0,4.7,12.8,0
experienced,283,245,24.3,Like,1,1.5,35,20.17,18.31,-0.83,15,15,35,1,1,12,13,70,53.6,70,63.7,49.6,1
experienced,243,324,53.9,Subscribe,0,42.09,5,13.89,39.02,0.22,0,0,0,0,0,1,4,3.0,14.4,0,8.3,0,1
veteran,850,4457,70.2,Subscribe,0,60.27,5,12.48,59.99,0.02,0,0,0,0,0,1,1,2.7,3.0,0,1.9,0,0
new,9,0,46.9,Subscribe,0,50.07,5,5.74,55.26,-0.9,0,0,0,0,0,1,1,5.3,1.8,0,0.6,1.4,0
experienced,211,568,56.2,Comment,0,37.95,5,19.37,71.18,-1.72,0,0,0,0,0,1,12,5.6,49.4,0,21.9,2.8,0
veteran,495,1175,53.4,Follow,0,6.59,15,11.84,38.18,-2.67,15,0,25,1,0,13,6,70,22.1,70,56.5,29.6,0
intermediate,34,24,63.6,Comment,0,43.52,15,21.37,90.06,-2.18,15,0,0,0,0,1,2,5.5,10.9,0,10.4,4.6,0
intermediate,50,57,45.8,Comment,0,37.79,5,2.26,38.3,-0.22,0,35,0,0,1,1,2,6.4,11.2,0,4.3,19.1,0
veteran,599,1551,71.7,Like,0,13.77,5,1.9,13.45,0.17,0,35,0,0,1,1,1,6.4,3.3,0,5.2,19.5,1
experienced,350,494,57.5,Like,0,8.49,5,19.83,24.48,-0.81,0,0,0,0,0,1,2,5.9,6.0,0,5.6,3.2,0
experienced,214,462,66.3,Like,0,16.07,5,21.29,16.26,-0.01,0,0,0,0,0,7,1,43.1,7.2,0,32.5,0,0
veteran,596,3776,79.0,Follow,0,31.89,5,13.24,28.85,0.23,0,0,0,0,0,2,1,10.3,1.1,0,4.5,0,0
experienced,283,953,48.0,Subscribe,0,8.42,15,12.4,31.48,-1.86,15,0,0,0,0,12,10,70,36.1,0,62.1,7.1,0
new,10,2,65.3,Subscribe,0,60.16,5,16.8,31.97,1.68,0,0,0,0,0,1,1,5.4,7.2,0,8.4,1.9,0
experienced,242,346,74.9,Like,0,17.91,5,17.26,15.41,0.14,0,0,0,0,0,3,7,16.4,29.7,0,22.5,1.1,0
new,13,1,55.9,Subscribe,0,3.78,35,7.26,64.89,-8.42,35,0,0,0,0,1,1,5.7,6.1,0,3.3,13.0,0
new,6,2,41.7,Subscribe,0,3.94,35,12.35,49.33,-3.68,35,0,0,0,0,1,1,4.1,5.0,0,4.2,11.7,0
intermediate,34,23,68.7,Comment,0,109.82,5,2.47,110.89,-0.43,0,35,0,0,1,2,1,7.6,2.7,0,9.7,17.6,0
