seller_type,seller_age_days,total_completed_tasks,seller_trust_score,task_type,is_duplicate_screenshot,completion_duration,timing_risk_score,std_dev,seller_average,z_score,population_score,timing_consistency_score,validity_score,logical_behavior_flag,final_behavior_risk_score,repetitive_behavior_flag,device_seller_count,ip_seller_count,device_sharing_score,ip_reuse_score,automation_score,device_risk_score,fraud_label
experienced,181,955,75,Comment,0,36.37,4,96.26,43.48,-0.07,0.37,5.75,0,0,6.11,0,2,3,12,12,0,24,0
new,10,2,38,Follow,0,41.42,4,20.69,41.1,0.01,0.07,20.86,0,0,20.94,0,2,6,12,30,5,47,0
power,1409,6985,80,Comment,0,72.15,0,29.67,78.86,-0.22,1.09,19.07,0,0,20.16,0,1,3,0,12,0,12,0
new,7,6,43,Comment,0,99.02,4,36.01,85.55,0.36,1.82,17.8,0,0,19.62,0,2,1,12,0,0,12,0
fraud,66,276,50,Comment,0,17.92,8,111.04,14.98,0.03,0.13,2.79,0,0,2.92,0,7,5,72,24,10,106,1
power,1088,6164,95,Like,0,10.56,16,18.77,9.41,0.06,0.29,21.25,0,0,21.54,0,3,4,24,18,0,42,0
experienced,235,177,85,Follow,0,39.38,2,51.61,47.06,-0.15,0.73,14.68,0,0,15.41,0,1,1,0,0,0,0,0
power,1450,8498,86,Like,0,19.2,0,11.13,16.11,0.25,1.27,22.77,0,0,24.05,0,1,1,0,0,5,5,0
new,12,9,48,Like,0,76.83,8,84.93,86.84,-0.12,0.58,8.01,0,0,8.6,0,1,1,0,0,0,0,0
new,14,6,47,Comment,0,284.1,8,99.54,397.1,-1.12,5.62,5.09,0,0,10.71,0,1,1,0,0,0,0,0
experienced,217,276,84,Like,0,39.4,1,117.89,44.57,-0.04,0.22,1.42,0,0,1.64,0,1,2,0,6,0,6,0
beginner,42,34,66,Comment,0,124.45,4,49.53,164.67,-0.8,3.98,15.09,0,0,19.07,0,2,1,12,0,5,17,0
power,1180,2001,89,Like,0,11.1,9,27.33,10.29,0.03,0.14,19.53,0,0,19.68,0,1,1,0,0,0,0,0
power,921,14197,100,Comment,0,56.8,5,16.11,58.68,-0.11,0.55,21.78,0,0,22.32,0,4,5,36,24,0,60,0
beginner,34,48,67,Follow,0,39.59,8,27.41,46.3,-0.24,1.18,19.52,0,0,20.7,0,2,1,12,0,0,12,0
experienced,169,971,86,Follow,0,30.71,7,117.38,25.07,0.05,0.24,1.52,0,0,1.76,0,1,1,0,0,0,0,0
power,448,12883,83,Follow,0,11.92,6,34.15,14.12,-0.06,0.31,18.17,0,0,18.48,0,2,1,12,0,5,17,0
new,7,6,47,Like,1,83.16,0,56.51,77.52,0.1,0.49,13.7,0,0,14.19,0,1,1,0,0,0,0,0
beginner,56,82,65,Comment,0,187.75,7,91.3,229.19,-0.45,2.25,6.74,0,0,8.99,0,1,2,0,6,0,6,0
new,8,5,41,Comment,0,312.65,7,64.12,247.67,1.0,4.99,12.18,0,0,17.17,0,2,3,12,12,0,24,0
beginner,40,18,65,Comment,0,105.09,16,100.69,134.34,-0.29,1.44,4.86,0,0,6.3,0,2,1,12,0,0,12,0
beginner,42,64,47,Follow,0,99.96,0,88.31,79.07,0.23,1.17,7.34,0,0,8.51,0,1,1,0,0,0,0,0
fraud,292,109,39,Like,0,4.07,21,64.19,4.44,-0.01,0.03,12.16,0,0,12.19,0,1,11,0,60,10,70,1
fraud,70,286,42,Follow,0,4.49,25,165.83,6.15,-0.01,0.05,0.0,0,0,0.05,0,8,12,84,66,20,170,1
beginner,43,34,49,Like,0,42.05,6,42.32,48.88,-0.16,0.79,16.54,0,0,17.32,0,2,3,12,12,0,24,0
experienced,320,854,89,Follow,0,45.86,7,35.1,43.59,0.06,0.31,17.98,0,0,18.29,0,1,3,0,12,0,12,0
beginner,59,25,59,Comment,0,166.1,6,38.89,212.65,-1.17,5.83,17.22,0,0,23.06,0,2,2,12,6,5,23,0
beginner,48,56,65,Comment,0,71.09,4,110.73,95.06,-0.21,1.07,2.85,0,0,3.93,0,1,1,0,0,0,0,0
beginner,60,90,68,Comment,0,83.8,3,73.13,94.22,-0.14,0.7,10.37,0,0,11.08,0,2,2,12,6,0,18,0
new,10,4,28,Comment,0,264.12,0,116.38,269.91,-0.05,0.25,1.72,0,0,1.97,0,1,3,0,12,5,17,0
new,15,2,20,Follow,0,114.04,0,96.64,101.2,0.13,0.66,5.67,0,0,6.33,0,1,3,0,12,0,12,0
beginner,49,48,51,Like,0,56.45,7,20.54,71.51,-0.7,3.5,20.89,0,0,24.39,0,1,3,0,12,5,17,0
experienced,67,709,84,Like,0,24.26,7,35.3,28.62,-0.12,0.6,17.94,0,0,18.54,0,2,2,12,6,5,23,0
experienced,215,398,87,Follow,0,24.99,7,69.67,23.37,0.02,0.11,11.07,0,0,11.18,0,2,3,12,12,0,24,0
fraud,146,576,6,Like,1,25.08,7,96.38,21.74,0.03,0.17,5.72,0,0,5.9,0,5,7,48,36,35,119,1
new,12,2,24,Comment,0,102.66,2,80.97,75.84,0.33,1.64,8.81,0,0,10.44,0,2,3,12,12,0,24,0
beginner,36,25,68,Comment,0,160.85,0,31.36,214.9,-1.67,8.35,18.73,0,0,27.08,0,2,3,12,12,5,29,0
new,4,9,45,Follow,0,26.37,0,42.89,31.34,-0.11,0.57,16.42,0,0,16.99,0,2,2,12,6,0,18,0
experienced,353,359,66,Like,0,14.74,6,25.18,11.42,0.13,0.63,19.96,0,0,20.6,0,1,3,0,12,0,12,0
fraud,310,123,35,Like,1,4.01,35,138.18,3.02,0.01,0.04,0.0,0,0,0.04,0,5,13,48,72,10,130,1
new,5,3,50,Comment,0,264.73,3,81.77,306.56,-0.51,2.53,8.65,0,0,11.17,0,1,1,0,0,5,5,0
experienced,285,752,75,Comment,0,97.49,1,86.86,104.54,-0.08,0.4,7.63,0,0,8.03,0,1,2,0,6,0,6,0
new,13,10,39,Follow,0,37.29,6,40.86,27.19,0.24,1.21,16.83,0,0,18.03,0,1,1,0,0,0,0,0
fraud,7,898,54,Comment,0,32.93,8,60.72,28.14,0.08,0.39,12.86,0,0,13.24,0,7,8,72,42,20,134,1
beginner,16,34,46,Like,0,27.68,6,43.82,27.62,0.0,0.01,16.24,0,0,16.24,0,2,3,12,12,5,29,0
experienced,311,960,75,Like,0,14.32,0,50.22,13.19,0.02,0.11,14.96,0,0,15.07,0,1,2,0,6,5,11,0
beginner,25,19,43,Follow,0,54.37,5,34.16,62.47,-0.23,1.15,18.17,0,0,19.32,0,2,2,12,6,0,18,0
new,6,0,49,Comment,0,153.94,0,106.67,131.09,0.21,1.06,3.67,0,0,4.73,0,1,2,0,6,5,11,0
beginner,47,74,60,Follow,1,18.68,0,17.01,16.14,0.14,0.71,21.6,0,0,22.3,0,2,1,12,0,0,12,0
power,1147,8624,91,Follow,0,27.43,1,11.03,19.42,0.67,3.33,22.79,0,0,26.12,0,2,2,12,6,0,18,0
power,1219,7514,89,Like,0,9.33,12,8.63,13.03,-0.38,1.92,23.27,0,0,25.2,0,2,1,12,0,0,12,0
new,13,1,31,Like,0,80.67,8,85.95,79.66,0.01,0.06,7.81,0,0,7.87,0,2,2,12,6,0,18,0
fraud,203,492,10,Like,1,3.52,31,147.25,4.9,-0.01,0.05,0.0,0,0,0.05,0,8,4,84,18,35,137,1
beginner,54,46,45,Like,0,43.58,8,62.92,44.77,-0.02,0.09,12.42,0,0,12.51,0,1,1,0,0,0,0,0
new,13,0,39,Like,0,25.04,8,31.18,30.83,-0.18,0.9,18.76,0,0,19.66,0,1,3,0,12,0,12,0
beginner,31,72,45,Like,0,51.61,6,23.8,50.06,0.06,0.31,20.24,0,0,20.55,0,1,2,0,6,0,6,0
beginner,42,81,58,Like,0,40.75,7,106.94,55.23,-0.13,0.67,3.61,0,0,4.28,0,2,2,12,6,5,23,0
beginner,32,79,55,Comment,0,186.42,1,69.88,170.04,0.23,1.16,11.02,0,0,12.18,0,1,1,0,0,0,0,0
new,8,7,36,Comment,0,259.14,2,72.91,311.71,-0.71,3.56,10.42,0,0,13.98,0,1,1,0,0,0,0,0
experienced,94,613,70,Comment,0,125.81,0,83.06,135.23,-0.11,0.56,8.39,0,0,8.95,0,1,3,0,12,0,12,0
power,1098,13825,94,Follow,0,12.55,3,29.98,16.0,-0.11,0.56,19.0,0,0,19.56,0,3,3,24,12,0,36,0
experienced,337,583,85,Like,0,12.52,5,33.07,16.46,-0.12,0.58,18.39,0,0,18.96,0,1,3,0,12,0,12,0
experienced,223,463,74,Follow,0,33.84,3,109.5,44.27,-0.09,0.47,3.1,0,0,3.57,0,3,3,24,12,5,41,0
new,11,4,21,Like,0,52.27,0,108.09,51.56,0.01,0.03,3.38,0,0,3.42,0,1,1,0,0,0,0,0
beginner,53,21,41,Comment,0,89.84,7,49.96,120.33,-0.6,2.99,15.01,0,0,18.0,0,4,6,36,30,0,66,0
experienced,229,550,76,Like,0,39.73,3,59.95,39.9,-0.0,0.01,13.01,0,0,13.02,0,2,2,12,6,0,18,0
beginner,51,83,53,Follow,0,62.4,7,110.64,84.65,-0.2,1.0,2.87,0,0,3.87,0,1,2,0,6,0,6,0
experienced,319,583,70,Like,0,39.03,4,105.03,39.82,-0.01,0.04,3.99,0,0,4.03,0,1,3,0,12,0,12,0
experienced,60,342,76,Comment,0,109.75,9,24.56,93.28,0.64,3.22,20.09,0,0,23.31,0,1,3,0,12,5,17,0
experienced,309,367,89,Comment,0,116.73,3,74.58,149.82,-0.44,2.19,10.08,0,0,12.27,0,1,3,0,12,0,12,0
beginner,31,63,64,Follow,0,46.73,18,55.36,45.38,0.02,0.12,13.93,0,0,14.05,0,1,2,0,6,0,6,0
new,9,0,46,Like,0,45.59,18,78.72,48.08,-0.03,0.16,9.26,0,0,9.41,0,4,3,36,12,0,48,0
new,14,10,37,Like,0,78.16,4,100.38,69.19,0.09,0.44,4.92,0,0,5.37,0,1,1,0,0,0,0,0
experienced,251,119,90,Like,0,26.2,4,61.69,28.84,-0.04,0.21,12.66,0,0,12.87,0,2,3,12,12,0,24,0
experienced,218,579,70,Like,0,35.04,0,80.33,24.82,0.13,0.63,8.93,0,0,9.56,0,1,1,0,0,0,0,0
new,15,8,28,Follow,0,102.97,7,27.52,101.91,0.04,0.19,19.5,0,0,19.68,0,2,3,12,12,0,24,0
fraud,176,841,10,Like,1,20.26,1,45.43,26.8,-0.14,0.7,15.91,0,0,16.62,0,8,1,84,0,35,119,1
beginner,56,96,40,Comment,0,51.31,0,92.19,49.45,0.02,0.1,6.56,0,0,6.66,0,1,1,0,0,5,5,0
beginner,29,66,47,Like,0,13.15,8,33.73,13.94,-0.02,0.11,18.25,0,0,18.37,0,2,5,12,24,0,36,0
new,2,7,24,Follow,0,85.0,5,90.84,97.08,-0.13,0.66,6.83,0,0,7.49,0,2,3,12,12,0,24,0
power,1115,7974,85,Like,0,10.87,20,17.69,9.65,0.06,0.32,21.46,0,0,21.79,0,4,6,36,30,5,71,0
experienced,228,221,81,Follow,0,43.2,8,55.6,31.56,0.21,1.03,13.88,0,0,14.91,0,1,3,0,12,5,17,0
fraud,110,606,46,Comment,0,6.72,11,105.17,7.3,-0.01,0.03,3.97,0,0,3.99,0,6,2,60,6,35,101,1
experienced,145,135,68,Comment,0,66.86,5,56.02,78.83,-0.21,1.05,13.8,0,0,14.85,0,1,1,0,0,0,0,0
experienced,149,899,69,Follow,0,53.75,1,84.26,41.99,0.14,0.69,8.15,0,0,8.84,0,2,2,12,6,0,18,0
fraud,226,53,36,Like,0,9.7,9,178.3,13.33,-0.02,0.1,0.0,0,0,0.1,0,7,13,72,72,0,144,1
experienced,239,849,72,Comment,0,102.65,3,38.96,101.15,0.04,0.19,17.21,0,0,17.4,0,2,2,12,6,5,23,0
power,1162,14957,86,Like,0,8.66,16,8.58,10.25,-0.17,0.83,23.28,0,0,24.12,0,2,2,12,6,5,23,0
new,2,10,24,Comment,0,66.91,5,102.88,49.94,0.16,0.82,4.42,0,0,5.24,0,1,3,0,12,5,17,0
power,609,9811,86,Like,0,19.45,1,13.22,16.59,0.2,1.01,22.36,0,0,23.36,0,1,1,0,0,5,5,0
fraud,260,799,58,Comment,0,14.64,1,56.11,14.43,0.0,0.02,13.78,0,0,13.8,0,10,1,108,0,50,158,1
experienced,156,598,69,Follow,0,46.56,6,26.06,49.71,-0.12,0.58,19.79,0,0,20.37,0,2,2,12,6,0,18,0
experienced,212,124,90,Like,0,31.73,8,48.18,44.21,-0.25,1.27,15.36,0,0,16.63,0,2,3,12,12,0,24,0
experienced,334,835,84,Like,0,27.68,5,89.95,31.24,-0.04,0.2,7.01,0,0,7.2,0,1,3,0,12,0,12,0
new,9,7,41,Comment,0,272.82,1,33.77,333.51,-1.75,8.73,18.25,0,0,26.98,0,1,3,0,12,5,17,0
beginner,26,88,44,Comment,0,93.94,4,111.75,117.17,-0.21,1.03,2.65,0,0,3.68,0,2,3,12,12,0,24,0
power,1034,3973,96,Like,0,14.31,1,19.23,13.47,0.04,0.21,21.15,0,0,21.36,0,1,1,0,0,0,0,0
experienced,242,933,67,Follow,0,42.5,1,69.96,30.41,0.17,0.85,11.01,0,0,11.86,0,2,1,12,0,0,12,0
experienced,198,229,74,Follow,0,39.65,3,17.33,38.57,0.06,0.3,21.53,0,0,21.83,0,3,6,24,30,0,54,0
experienced,259,398,69,Like,0,18.69,13,110.64,17.55,0.01,0.05,2.87,0,0,2.92,0,2,2,12,6,0,18,0
fraud,170,624,30,Like,0,1.41,28,78.44,1.34,0.0,0.0,9.31,0,0,9.32,0,8,7,84,36,10,130,1
experienced,111,205,65,Like,0,13.84,13,60.32,15.2,-0.02,0.11,12.94,0,0,13.05,0,2,6,12,30,0,42,0
experienced,117,687,74,Comment,1,47.41,8,115.17,43.2,0.04,0.18,1.97,0,0,2.15,0,2,3,12,12,0,24,0
new,2,5,50,Comment,0,245.06,8,34.66,317.48,-2.03,10.15,18.07,0,0,28.22,0,2,3,12,12,0,24,0
power,1052,2757,100,Like,0,18.47,5,30.74,25.47,-0.22,1.1,18.85,0,0,19.96,0,4,7,36,36,0,72,0
power,373,14456,80,Follow,0,20.15,7,25.3,21.11,-0.04,0.18,19.94,0,0,20.12,0,1,3,0,12,0,12,0
experienced,128,975,75,Like,0,23.51,3,62.25,28.08,-0.07,0.36,12.55,0,0,12.91,0,1,3,0,12,0,12,0
experienced,153,208,81,Like,0,9.28,20,30.89,7.79,0.05,0.23,18.82,0,0,19.05,0,3,4,24,18,0,42,0
beginner,36,53,51,Comment,0,187.58,8,116.32,158.39,0.25,1.24,1.74,0,0,2.98,0,1,3,0,12,0,12,0
experienced,73,842,69,Like,0,40.7,2,52.0,39.0,0.03,0.16,14.6,0,0,14.76,0,1,3,0,12,0,12,0
experienced,116,666,83,Like,0,31.18,1,52.85,39.33,-0.15,0.76,14.43,0,0,15.19,0,2,1,12,0,0,12,0
beginner,50,24,55,Comment,0,181.57,5,119.04,246.02,-0.54,2.68,1.19,0,0,3.88,0,2,3,12,12,0,24,0
beginner,18,29,57,Like,0,24.49,5,88.1,28.4,-0.04,0.22,7.38,0,0,7.6,0,2,2,12,6,0,18,0
experienced,219,673,65,Like,0,32.93,3,38.94,29.39,0.09,0.44,17.21,0,0,17.66,0,2,1,12,0,0,12,0
fraud,317,279,39,Follow,0,31.56,3,127.07,39.3,-0.06,0.3,0.0,0,0,0.3,0,1,5,0,24,0,24,1
experienced,235,290,70,Like,0,22.24,4,94.2,27.66,-0.06,0.28,6.16,0,0,6.45,0,2,1,12,0,0,12,0
fraud,385,16,26,Comment,0,8.98,20,75.6,10.56,-0.02,0.1,9.88,0,0,9.98,0,3,8,24,42,35,101,1
fraud,461,568,30,Follow,0,10.02,11,80.94,9.33,0.01,0.04,8.81,0,0,8.86,0,3,5,24,24,10,58,1
experienced,89,901,89,Like,0,37.8,6,37.05,40.62,-0.07,0.37,17.59,0,0,17.96,0,2,2,12,6,0,18,0
beginner,32,67,52,Comment,0,164.79,2,70.34,180.82,-0.22,1.12,10.93,0,0,12.06,0,2,2,12,6,0,18,0
experienced,312,126,67,Comment,0,60.28,5,15.52,64.84,-0.28,1.38,21.9,0,0,23.28,0,2,2,12,6,0,18,0
power,1090,9518,91,Like,0,7.25,13,11.09,9.32,-0.17,0.85,22.78,0,0,23.64,0,1,3,0,12,0,12,0
beginner,51,25,45,Like,0,36.15,3,118.72,31.86,0.04,0.18,1.26,0,0,1.44,0,2,5,12,24,5,41,0
new,4,4,33,Like,0,22.25,4,42.71,20.3,0.04,0.22,16.46,0,0,16.68,0,4,7,36,36,0,72,0
experienced,356,757,76,Follow,0,28.41,1,74.23,39.16,-0.14,0.71,10.15,0,0,10.87,0,1,1,0,0,0,0,0
fraud,243,882,16,Follow,1,1.81,22,148.48,1.9,-0.0,0.0,0.0,0,0,0.0,0,1,2,0,6,20,26,1
experienced,278,676,78,Comment,0,116.44,4,104.94,136.12,-0.19,0.93,4.01,0,0,4.94,0,1,3,0,12,0,12,0
experienced,126,117,70,Comment,0,46.74,4,54.27,50.72,-0.07,0.36,14.15,0,0,14.51,0,2,1,12,0,0,12,0
experienced,167,321,67,Follow,0,27.18,6,26.08,23.68,0.13,0.65,19.78,0,0,20.43,0,2,1,12,0,5,17,0
experienced,231,386,79,Follow,0,38.54,8,74.01,42.15,-0.05,0.24,10.2,0,0,10.44,0,2,3,12,12,0,24,0
experienced,72,359,82,Comment,0,97.6,2,111.73,82.7,0.13,0.66,2.65,0,0,3.31,0,2,3,12,12,0,24,0
new,7,0,25,Like,0,74.99,19,119.0,63.75,0.09,0.47,1.2,0,0,1.67,0,4,8,36,42,0,78,0
new,8,0,22,Comment,0,77.38,0,70.19,60.41,0.24,1.19,10.96,0,0,12.15,0,2,2,12,6,0,18,0
new,7,0,47,Follow,0,101.58,0,17.72,72.83,1.54,7.68,21.46,0,0,29.14,0,2,3,12,12,0,24,0
experienced,358,583,69,Follow,0,42.92,1,31.61,36.56,0.2,0.98,18.68,0,0,19.65,0,2,7,12,36,5,53,0
new,2,6,33,Follow,0,59.81,2,32.48,53.47,0.19,0.95,18.5,0,0,19.45,0,2,8,12,42,5,59,0
fraud,275,716,53,Comment,1,11.68,6,27.48,12.32,-0.02,0.11,19.5,0,0,19.62,0,2,4,12,18,0,30,1
beginner,22,39,46,Comment,0,110.81,1,44.75,118.7,-0.17,0.86,16.05,0,0,16.91,0,3,3,24,12,0,36,0
fraud,183,360,26,Like,0,7.15,8,59.44,5.5,0.03,0.14,13.11,0,0,13.25,0,7,8,72,42,0,114,1
fraud,168,213,49,Follow,0,6.5,20,49.4,5.84,0.01,0.07,15.12,0,0,15.19,0,3,3,24,12,50,86,1
power,522,9813,91,Like,0,5.7,19,19.69,5.07,0.03,0.15,21.06,0,0,21.21,0,3,5,24,24,0,48,0
beginner,52,23,67,Like,0,13.27,3,109.36,10.54,0.02,0.12,3.13,0,0,3.25,0,2,1,12,0,0,12,0
beginner,24,100,43,Like,0,17.69,7,46.81,22.98,-0.11,0.55,15.64,0,0,16.19,0,1,3,0,12,0,12,0
fraud,52,804,10,Comment,0,10.41,16,157.25,7.4,0.02,0.1,0.0,0,0,0.1,0,8,11,84,60,20,164,1
power,1039,7532,83,Comment,0,22.45,0,30.33,16.25,0.2,0.99,18.93,0,0,19.93,0,2,1,12,0,0,12,0
power,1278,11651,100,Follow,0,26.33,1,24.66,29.85,-0.14,0.69,20.07,0,0,20.75,0,2,1,12,0,0,12,0
new,1,7,21,Comment,0,239.18,4,39.2,321.84,-2.06,10.28,17.16,0,0,27.44,0,1,1,0,0,0,0,0
beginner,59,54,55,Follow,0,70.22,7,118.35,89.29,-0.16,0.8,1.33,0,0,2.13,0,2,1,12,0,0,12,0
experienced,109,489,79,Comment,0,66.12,18,71.12,54.92,0.16,0.78,10.78,0,0,11.55,0,1,1,0,0,0,0,0
power,830,9823,92,Comment,0,68.07,6,34.81,66.19,0.05,0.26,18.04,0,0,18.3,0,2,3,12,12,0,24,0
new,2,4,26,Follow,0,82.65,3,83.43,93.98,-0.13,0.67,8.31,0,0,8.99,0,1,1,0,0,0,0,0
beginner,56,25,48,Follow,0,63.56,8,72.88,45.72,0.24,1.21,10.42,0,0,11.63,0,1,2,0,6,5,11,0
new,7,2,30,Follow,0,101.28,8,110.47,137.94,-0.33,1.64,2.91,0,0,4.55,0,1,1,0,0,5,5,0
beginner,21,18,58,Like,0,31.11,3,31.87,40.09,-0.27,1.37,18.63,0,0,19.99,0,2,2,12,6,0,18,0
power,298,6038,87,Comment,0,63.4,4,30.88,59.5,0.12,0.61,18.82,0,0,19.44,0,2,1,12,0,5,17,0
power,609,7308,88,Follow,0,27.62,2,14.41,26.28,0.09,0.44,22.12,0,0,22.56,0,1,1,0,0,0,0,0
beginner,46,81,51,Follow,0,74.66,3,86.2,85.43,-0.12,0.62,7.76,0,0,8.38,0,1,2,0,6,0,6,0
beginner,25,23,63,Comment,0,85.97,9,56.19,107.71,-0.38,1.9,13.76,0,0,15.66,0,2,2,12,6,0,18,0
experienced,216,490,76,Follow,0,24.81,5,95.35,27.6,-0.03,0.14,5.93,0,0,6.07,0,4,8,36,42,0,78,0
new,10,0,43,Like,0,75.0,1,46.11,66.57,0.18,0.89,15.78,0,0,16.67,0,4,3,36,12,5,53,0
beginner,46,21,64,Like,0,32.42,7,20.18,35.82,-0.16,0.8,20.96,0,0,21.76,0,2,8,12,42,0,54,0
power,1211,2522,95,Like,0,10.64,27,14.58,8.85,0.11,0.57,22.08,0,0,22.66,0,2,3,12,12,0,24,0
new,8,10,46,Follow,0,126.66,2,102.56,104.92,0.21,1.05,4.49,0,0,5.54,0,2,2,12,6,0,18,0
experienced,78,562,79,Comment,0,46.57,7,62.4,36.31,0.16,0.81,12.52,0,0,13.33,0,2,2,12,6,0,18,0
new,10,6,28,Follow,0,52.4,8,98.11,73.18,-0.21,1.05,5.38,0,0,6.43,0,2,2,12,6,0,18,0
experienced,290,583,77,Like,0,20.96,8,23.28,23.12,-0.09,0.45,20.34,0,0,20.79,0,2,1,12,0,0,12,0
new,14,6,25,Follow,0,119.44,3,66.85,98.08,0.31,1.57,11.63,0,0,13.2,0,2,3,12,12,0,24,0
beginner,52,95,65,Comment,0,52.01,12,39.47,42.58,0.23,1.16,17.11,0,0,18.27,0,1,1,0,0,5,5,0
new,6,2,46,Like,0,38.8,0,110.64,28.48,0.09,0.46,2.87,0,0,3.34,0,4,4,36,18,0,54,0
power,307,12320,86,Like,0,5.81,14,30.78,5.08,0.02,0.11,18.84,0,0,18.96,0,2,1,12,0,0,12,0
experienced,250,571,81,Follow,0,22.35,6,117.21,18.65,0.03,0.16,1.56,0,0,1.71,0,1,1,0,0,0,0,0
fraud,314,191,12,Like,0,19.44,0,10.8,16.66,0.23,1.17,22.84,0,0,24.01,0,7,8,72,42,0,114,1
experienced,295,328,89,Follow,0,26.45,1,64.41,33.89,-0.11,0.57,12.12,0,0,12.69,0,2,3,12,12,0,24,0
experienced,186,438,66,Like,0,11.09,14,92.22,14.08,-0.03,0.16,6.56,0,0,6.72,0,1,3,0,12,0,12,0
experienced,346,771,80,Comment,0,43.46,3,85.6,56.74,-0.15,0.77,7.88,0,0,8.65,0,3,8,24,42,0,66,0
new,12,6,26,Follow,0,36.09,1,101.38,32.64,0.03,0.17,4.72,0,0,4.89,0,1,1,0,0,0,0,0
beginner,41,70,68,Comment,0,106.06,20,70.7,115.53,-0.13,0.66,10.86,0,0,11.52,0,1,1,0,0,0,0,0
power,406,6528,98,Comment,0,29.63,18,14.23,37.26,-0.5,2.5,22.15,0,0,24.66,0,3,5,24,24,0,48,0
experienced,246,345,83,Follow,0,44.35,4,83.2,32.96,0.14,0.68,8.36,0,0,9.04,0,2,3,12,12,0,24,0
beginner,58,69,55,Like,1,21.89,9,89.63,26.11,-0.05,0.23,7.07,0,0,7.31,0,1,1,0,0,0,0,0
